Model_ID,L11,L21,L12,L22,Sigma 11,Sigma 21,Sigma 12,Sigma 21,Alpha 11,Alpha 21,Alpha 12,Alpha 22,base intensity 1,base intensity 1,beta_1,beta_2,beta_3
3f2ab41b5a,1.900930882,1.732949615,1.783170581,1.622535706,0.49268046,0.4239299,0.369977772,0.307955891,0.841075063,1.713289857,1.164164543,2.257194281,0.839212418,0.839212418,0.4,0.37,1
eabe9ffcca,1.732828736,1.732869744,1.732849002,1.732889891,0.542712748,0.502348959,0.412946284,0.374333262,1.042302608,1.772125363,1.273406029,2.112384081,0.747605145,0.747605145,0.4,0.37,1
6324a2e6df,1.872258902,1.732994437,1.778131962,1.643792391,0.492621958,0.42392835,0.369949102,0.307978243,0.831311822,1.670169115,1.128716826,2.168571234,0.839460969,0.839460969,0.4,0.37,1
cc37fca0d5,1.732898831,1.732866764,1.732877493,1.732845306,0.54398638,0.502356887,0.413624674,0.3737939,1.388376236,2.030507803,1.575562239,2.276757956,0.747894168,0.747894168,0.4,0.33,1
2015d9c132,1.87377882,1.732922196,1.769101858,1.63379097,0.492868423,0.423926532,0.370043188,0.307852477,1.040438175,1.925400496,1.386288524,2.466863394,0.839465022,0.839465022,0.4,0.33,1
71db070b39,1.732892513,1.732886553,1.732839465,1.732833505,0.543875813,0.502459407,0.413605988,0.373976231,1.370872855,2.014940262,1.556509614,2.260255098,0.747683942,0.747683942,0.4,0.33,1
a569a3b462,1.842912078,1.733019233,1.769328117,1.662512064,0.492810398,0.423922032,0.370015234,0.307872504,1.027187943,1.87659204,1.346057653,2.373485565,0.839706779,0.839706779,0.4,0.33,1
785c732486,1.732983828,1.732868671,1.732977867,1.732862711,0.542320907,0.502827942,0.412927687,0.37513417,0.888828039,1.65324235,1.145777822,2.056500196,0.747730255,0.747730255,0.4,0.4,1
f254f0e23f,2.237758398,1.734115481,1.77679491,1.350002408,0.492519379,0.424025595,0.369874418,0.308082253,0.722238958,1.573171616,1.022238612,2.105520487,0.838535547,0.838535547,0.4,0.4,1
663f0c4630,1.732872367,1.732885718,1.732847095,1.732860446,0.542060912,0.502821743,0.412808686,0.375258803,0.872502983,1.628625989,1.116355896,2.013609171,0.747548163,0.747548163,0.4,0.4,1
ce71a4baf1,2.244814396,1.732972264,1.800145507,1.363190532,0.492449641,0.424015403,0.369820893,0.308083892,0.71463418,1.532908678,0.990556896,2.020032167,0.838794887,0.838794887,0.4,0.4,1
0a0eafd194,1.732886672,1.732909083,1.732833505,1.732855678,0.542940915,0.502839208,0.413267553,0.374887675,1.06447649,1.798191428,1.289174557,2.127053976,0.747835696,0.747835696,0.4,0.37,1
4171b9e19c,2.211061716,1.733438253,1.774155498,1.366248727,0.492636234,0.424013823,0.369907945,0.308002979,0.835965276,1.701062083,1.154207468,2.237149239,0.83871448,0.83871448,0.4,0.37,1
082f62ce5d,1.732861638,1.732868552,1.732879162,1.732885957,0.542717159,0.502873838,0.413182497,0.375049323,1.042380214,1.772050619,1.273384213,2.112136841,0.747660279,0.747660279,0.4,0.37,1
ea88a16434,2.220309734,1.732906342,1.795788407,1.377057076,0.492566586,0.424006075,0.369856477,0.308008522,0.82577455,1.656176567,1.11867249,2.147121191,0.838968933,0.838968933,0.4,0.37,1
57605855b5,1.732852936,1.732913136,1.732817888,1.73287797,0.54397428,0.502922118,0.413853556,0.374555707,1.388386965,2.030436277,1.575590014,2.27670145,0.747926652,0.747926652,0.4,0.33,1
