Model_ID,L11,L21,L12,L22,Sigma 11,Sigma 21,Sigma 12,Sigma 21,s 11,s12,s21,s22,beta_1,beta_2,beta_3
9f5fcf67d9,0.885427535,0.931682348,0.372283548,0.394910753,0.890468657,0.990913272,0.382728338,0.434504449,1.724881887,2.556274891,1.063984871,1.773611903,0.6,1,0.7
d563b5f3ab,0.885427535,0.931682348,0.372283548,0.394910753,0.890468657,0.990913272,0.382728338,0.434504449,1.724881887,2.556274891,1.063984871,1.773611903,0.6,1,0.7
5653475d16,0.678160191,0.853989959,0.34641856,0.447404176,0.867591619,0.692788005,0.206779271,0.156066567,1.754000068,2.253784895,4.001850128,4.572683811,0.6,1,0.8
4e65042348,0.873733103,0.887812138,0.388543785,0.395734459,0.685986519,0.867041767,0.158390164,0.212117597,1.789956808,2.584188461,1.187582374,1.886638165,0.6,1,0.8
8cd9089138,0.697244346,0.857951105,0.32378158,0.408713967,0.99106741,0.839948773,0.321704894,0.262707919,1.845721483,2.356570244,4.285447121,4.862525463,0.6,1,0.7
b736746157,0.678160191,0.853989959,0.34641856,0.447404176,0.867591619,0.692788005,0.206779271,0.156066567,1.754000068,2.253784895,4.001850128,4.572683811,0.6,1,0.8
797173fe30,0.737681627,0.879161596,0.301234573,0.368140399,1.156247258,1.07484889,0.527630508,0.483974248,1.943472981,2.45822382,4.570397377,5.145666122,0.6,1,0.6
711bcf9746,0.685515702,0.881689668,0.360283643,0.476175666,0.790060878,0.555171967,0.166180849,0.109062232,1.753490448,2.156637192,3.846394777,4.308675766,0.6,1,0.7
60468ff514,0.666145623,0.862110436,0.386060536,0.51170671,0.521843314,0.362078309,0.107848056,0.070985369,1.702721596,2.120451689,3.563338757,4.043323517,0.6,1,0.8
1a7fe4a50c,0.700572133,0.888643026,0.333006471,0.434896529,1.142056108,0.823481321,0.272970051,0.182226449,1.853158593,2.238842964,4.169754505,4.607667923,0.6,1,0.6
641dc35bad,0.685515702,0.881689668,0.360283643,0.476175666,0.790060878,0.555171967,0.166180849,0.109062232,1.753490448,2.156637192,3.846394777,4.308675766,0.6,1,0.7
e7fbcb7633,0.666145623,0.862110436,0.386060536,0.51170671,0.521843314,0.362078309,0.107848056,0.070985369,1.702721596,2.120451689,3.563338757,4.043323517,0.6,1,0.8
3b9cac209c,0.903900802,1.281981111,0.341031671,0.518803895,1.136001348,0.790625751,0.243314639,0.15529184,1.302129269,1.717278957,3.792632341,4.317887306,0.6,1,0.6
ef202e83f8,0.890178144,1.246511221,0.311311632,0.467352837,1.387922883,1.00673604,0.434829682,0.294494867,1.36920011,1.876313806,4.192675114,4.819877148,0.6,1,0.5
65aaa709c2,1.605640531,1.493791938,1.864250541,1.739891052,0.342484832,0.707485557,0.361913681,0.741217613,2.570318937,2.511505127,2.011960745,1.962444901,0.4,0.3,1
83d9c900fb,1.5202468633651733,2.3865644931793213,1.795952558517456,2.751986265182495,1.3110281229019165,1.7443994283676147,0.28573179244995117,0.455108642578125,1.7553950548171997,2.413724184036255,2.114811897277832,2.86008620262146,0.4,0.3,1.0
fc118a6840,0.9696019291877747,0.642566978931427,0.2602979242801666,0.16418452560901642,2.221107244491577,6.465029239654541,0.003813990857452154,0.2609836459159851,0.04205407574772835,3.0946710109710693,0.1738334447145462,6.69550085067749,0.4,0.3,1.0
2383f7d51d,0.8636995553970337,0.684728741645813,0.5066317319869995,0.395751416683197,3.310600519180298,6.993940353393555,0.055516697466373444,1.210362434387207,0.09314285963773727,3.0008137226104736,0.1854754239320755,4.577818870544434,0.4,0.3,1.0
e7ec12e23d,0.9325761795043945,5.952375411987305,0.25716614723205566,3.023897409439087,0.6959235072135925,0.0346638560295105,3.387331485748291,0.6945119500160217,0.18788599967956543,0.050451088696718216,0.6908723711967468,0.19602800905704498,0.4,0.3,1.0
09735dfae1,0.7189325094223022,0.5248931050300598,0.3640168607234955,0.2606840431690216,3.0419411659240723,7.637842178344727,0.03721252456307411,1.5979335308074951,0.008122100494801998,2.6273350715637207,0.01957382634282112,4.532780647277832,0.4,0.3,1.0
c3ec6babaa,2.5706586837768555,208.52915954589844,0.7097391486167908,204.28033447265625,0.6762652397155762,0.024412594735622406,0.9047068357467651,0.036927152425050735,1.6546007827855647e-05,0.0005027218721807003,4.149617538473649e-08,1.2608802535396535e-06,0.4,0.3,1.0
9843b9d844,0.6977123618125916,0.5443618893623352,0.38000431656837463,0.2923564016819,3.1523616313934326,7.271940231323242,0.042799096554517746,1.3373546600341797,0.01003955490887165,2.2694520950317383,0.028037361800670624,4.389562606811523,0.4,0.3,1.0
e3f53c9268,1.246327519416809,2.0929877758026123,2.695167303085327,3.988255262374878,1.622440218925476,3.1755599975585938,0.14773520827293396,0.6409896016120911,0.7446901798248291,2.972302198410034,0.39148715138435364,1.8009562492370605,0.4,0.3,1.0
bd52422dfc,0.012628903612494469,6.317980296444148e-05,0.37699049711227417,0.018145116046071053,0.003310388419777155,5.946243618382141e-05,0.026440199464559555,0.0005334188463166356,0.3093171715736389,0.7228158712387085,0.11666898429393768,0.4981171190738678,0.003310388419777155,5.946243618382141e-05,0.026440199464559555,0.0005334188463166356,0.003310388419777155,5.946243618382141e-05,0.026440199464559555,0.0005334188463166356,10,10,10,1,10
f6ca88fbe6,0.005577254109084606,0.0389346107840538,0.0013056404422968626,0.010351959615945816,4.016027560282964e-06,8.799947863735724e-06,0.001179308514110744,0.0025662551634013653,0.09923136234283447,0.7169246673583984,0.020157543942332268,0.5146065950393677,0.726813018321991,1.1461968421936035,0.5762913823127747,0.9421927332878113,0.0024903302546590567,0.14058950543403625,0.007893780246376991,0.24006116390228271,10,10,10,1,10
