Dataset,Epochs,Batch Size,D_Model,D_Type,Learning Rate,Train loss,Val Loss,Test Loss,Val RMSE,Test RMSE,Last Val RMSE,Last Test RMSE,LengthScale,Alpha,l,s,Softmax,Time2Vec,
sin_hawkes,100,40,128,32,0.001,2.762483596801758,2.78224515914917,2.7948079109191895,5.525645732879639,4.873227596282959,4.749145984649658,4.756891250610352,0.7726538777351379,1,2.592843770980835,1,False,True,1
power_hawkes,100,40,128,32,0.001,2.943108320236206,2.9471218585968018,3.0090224742889404,6.839835166931152,6.62920618057251,5.581961631774902,5.809533596038818,0.22138091921806335,1,1.211199402809143,1,False,False,1
sin_hawkes,10,1,128,32,0.001,2.751950740814209,2.7755846977233887,2.785433053970337,5.426041603088379,4.777760982513428,4.726814270019531,4.7321858406066895,0.22138091921806335,1,1.211199402809143,1,False,False,1
power_hawkes,10,1,128,32,0.001,2.9780848026275635,2.936204195022583,3.0049960613250732,6.987486362457275,6.713292598724365,5.657190799713135,5.886500835418701,0.22138091921806335,1,1.211199402809143,1,False,False,1
sin_hawkes,10,1,128,32,0.005,2.7545859813690186,2.7736473083496094,2.7846803665161133,5.434686183929443,4.79150915145874,4.742953777313232,4.749349117279053,0.22138091921806335,1,1.211199402809143,1,False,False,1
sin_hawkes,10,1,128,32,0.001,2.750903606414795,2.776376247406006,2.7846786975860596,5.405679702758789,4.764699459075928,4.724093914031982,4.728541851043701,0.22138091921806335,1,1.211199402809143,1,False,False,1
power_hawkes,10,1,128,32,0.001,2.9718306064605713,2.934222459793091,2.9999475479125977,6.971372604370117,6.686505317687988,5.656319618225098,5.881796360015869,0.22138091921806335,1,1.211199402809143,1,False,False,1
sin_hawkes,10,1,128,32,0.001,2.742825508117676,2.7679126262664795,2.7739503383636475,5.42572546005249,4.766313552856445,4.720122337341309,4.727261543273926,0.22138091921806335,1,1.211199402809143,1,False,False,1
power_hawkes,10,1,128,32,0.001,2.9713046550750732,2.9360783100128174,3.000983476638794,6.98937463760376,6.707977771759033,5.668288230895996,5.8954176902771,0.22138091921806335,1,1.211199402809143,1,False,False,1
sin_hawkes,10,1,128,32,0.0001,2.7542808055877686,2.7796638011932373,2.789888858795166,5.426639556884766,4.773269176483154,4.737023830413818,4.743813991546631,0.22138091921806335,1,1.211199402809143,1,False,False,1
power_hawkes,10,1,128,32,0.0001,2.9878621101379395,2.9466917514801025,3.0164437294006348,7.074845314025879,6.788551330566406,5.6943583488464355,5.925097942352295,0.22138091921806335,1,1.211199402809143,1,False,False,1
sin_hawkes,10,1,128,32,0.001,2.750903606414795,2.776376247406006,2.7846786975860596,5.405679702758789,4.764699459075928,4.724093914031982,4.728541851043701,0.22138091921806335,1,1.211199402809143,1,False,False,1
power_hawkes,10,1,128,32,0.001,2.9718306064605713,2.934222459793091,2.9999475479125977,6.971372604370117,6.686505317687988,5.656319618225098,5.881796360015869,0.22138091921806335,1,1.211199402809143,1,False,False,1
sin_hawkes,20,1,128,32,0.001,2.747021198272705,2.775590658187866,2.7868618965148926,5.383139133453369,4.755701541900635,4.714416027069092,4.722233772277832,0.22138091921806335,1,1.211199402809143,1,False,False,1
power_hawkes,20,1,128,32,0.001,2.96468186378479,2.9346940517425537,3.001563549041748,6.8830437660217285,6.62438440322876,5.608360290527344,5.833970069885254,0.22138091921806335,1,1.211199402809143,1,False,False,1
